a30_390	2,6,6	Une vision pour l'avenir	/fr/article/606/A_Vision_For_The_Future	ANZURA, Australie et Nouvelle-Zélande Association Urantia	6-0-6	1992
a40_529	196,1,2	Une vision pour l'avenir	/fr/article/606/A_Vision_For_The_Future	ANZURA, Australie et Nouvelle-Zélande Association Urantia	6-0-6	1992
a59_510	2,7,10	Une vision pour l'avenir	/fr/article/606/A_Vision_For_The_Future	ANZURA, Australie et Nouvelle-Zélande Association Urantia	6-0-6	1992
a65_157	143,1,4	Une vision pour l'avenir	/fr/article/606/A_Vision_For_The_Future	ANZURA, Australie et Nouvelle-Zélande Association Urantia	6-0-6	1992
a22_209	42,12,12	Ascension	/fr/article/606/Ascension	ANZURA, Australie et Nouvelle-Zélande Association Urantia	6-0-6	1991
a24_185	140,6,12	Ascension	/fr/article/606/Ascension	ANZURA, Australie et Nouvelle-Zélande Association Urantia	6-0-6	1991
a26_341	4,2,7	Ascension	/fr/article/606/Ascension	ANZURA, Australie et Nouvelle-Zélande Association Urantia	6-0-6	1991
a28_138	1,3,3	Ascension	/fr/article/606/Ascension	ANZURA, Australie et Nouvelle-Zélande Association Urantia	6-0-6	1991
a30_137	142,6,5	Ascension	/fr/article/606/Ascension	ANZURA, Australie et Nouvelle-Zélande Association Urantia	6-0-6	1991
a32_219	110,2,5	Ascension	/fr/article/606/Ascension	ANZURA, Australie et Nouvelle-Zélande Association Urantia	6-0-6	1991
a34_309	110,6,5	Ascension	/fr/article/606/Ascension	ANZURA, Australie et Nouvelle-Zélande Association Urantia	6-0-6	1991
a36_343	130,4,10	Ascension	/fr/article/606/Ascension	ANZURA, Australie et Nouvelle-Zélande Association Urantia	6-0-6	1991
a38_197	108,6,5	Ascension	/fr/article/606/Ascension	ANZURA, Australie et Nouvelle-Zélande Association Urantia	6-0-6	1991
a40_295	108,6,7	Ascension	/fr/article/606/Ascension	ANZURA, Australie et Nouvelle-Zélande Association Urantia	6-0-6	1991
a42_136	190,5,5	Ascension	/fr/article/606/Ascension	ANZURA, Australie et Nouvelle-Zélande Association Urantia	6-0-6	1991
a44_275	176,4,3	Ascension	/fr/article/606/Ascension	ANZURA, Australie et Nouvelle-Zélande Association Urantia	6-0-6	1991
