Ezekiel	1:4,13,	#	39:5.14/#	Luminosity	C	PROBLEM
Ezekiel	1:4,14,22,27	#	39:5.14/#	Enshrouded by light	C	PROBLEM
Ezekiel	1:6,11,23	#	39:5.12/#	Триещи се щитове	C	
Ezekiel	1:12-14,19-24	#	39:5.14/#	Отпътуване	C	
Ezekiel	1:15-19	#	15:3.7/#	Обороти на Вселената	C	
Ezekiel	1:19-21	#	39:5.13/#	Транспортни средства за товарене	C	
Ezekiel	2:1,3,6,8	#	135:5.7/#	Човешкият син	R	
Ezekiel	2:1,3,6,8	#	128:1.2/#	Син на човек	C	
Ezekiel	2:1,3,6,8	#	136:1.1/#	Човешкият син	R	
Ezekiel	2:1,3,6,8	#	126:3.6/#	Човешки син	R	
Ezekiel	3:1-4,10,17	#	136:1.1/#	Човешкият син	R	
Ezekiel	3:1-4,10,17	#	128:1.2/#	Син на човек	C	
Ezekiel	3:1-4,10,17	#	135:5.7/#	Човешкият син	R	
Ezekiel	3:1-4,10,17	#	126:3.6/#	Човешки син	R	
Ezekiel	3:12	#	137:8.4/#	Да бъде благословена славата на Господа	R	
Ezekiel	5:13	#	4:3.2/#	Бог каза да се разгневи	C	
Ezekiel	5:16-17	#	4:5.3/#	Природните катастрофи като проклятие	C	
Ezekiel	10:2,9	#	39:5.14/#	Закрити от светлина	C	
Ezekiel	10:5	#	39:5.12/#	Ангелски крила	C	
Ezekiel	10:9-10	#	15:3.7/#	Обороти на Вселената	C	
Ezekiel	10:15-19	#	39:5.14/#	Отпътуване	C	
Ezekiel	10:17	#	39:5.13/#	Транспортни средства за товарене	C	
Ezekiel	10:21	#	39:5.12/#	Триещи се щитове	C	
Ezekiel	11:13	#	97:9.21/#	Остатъкът от Израел	R	
Ezekiel	11:19	#	194:3.19/#	Духът на истината пречиства сърцето	C	
Ezekiel	11:19	#	52:5.6/#	Духът се излива върху всяка плът	R	
Ezekiel	11:19	#	21:5.7/#	Spirit of Truth+	C	PROBLEM
Ezekiel	11:19	#	32:5.8/#	Духът на истината	C	
Ezekiel	11:19	#	120:2.6/#	Spirit of Truth+	C	PROBLEM
Ezekiel	11:19	#	181:1.4/#	Ще излея духа си върху всяка плът	C	
Ezekiel	11:19	#	120:2.4/#	Духът на истината	C	
Ezekiel	11:19	#	181:2.14/#	Следвайте новия учител в сърцата	C	
Ezekiel	11:19	#	176:4.3/#	Друг учител, Духът на истината	S	
Ezekiel	11:19	#	103:1.6/#	Дух в човека (Дух на истината)	C	
Ezekiel	11:19	#	180:3.3/#	Обещание за утешител	C	
Ezekiel	11:19	#	20:6.8/#	Духът на истината	C	
Ezekiel	11:19	#	20:1.6/#	Son poured out spirit on flesh+	C	PROBLEM
Ezekiel	11:19	#	193:5.2/#	Изпрати Духа на истината	C	
Ezekiel	11:19	#	191:6.3/#	Духът на истината	C	
Ezekiel	11:19	#	180:6.3/#	Духът на истината	C	
Ezekiel	11:19	#	180:4.5/#	Ще изпратя „духа си“	C	
Ezekiel	11:19	#	181:1.5/#	Духът на истината живее в сърцата	C	
Ezekiel	11:19	#	121:7.5/#	Нов дух, жив в човешките сърца	R	
Ezekiel	11:19	#	146:3.6/#	Дух на истината	C	
Ezekiel	11:19	#	34:7.1/#	Дух на истината	C	
