a38_208	120,1,3	Acerca de la certeza	/es/article/About_Certainty		Innerface International	2002
a40_223	120,1,3	Acerca de la certeza	/es/article/About_Certainty		Innerface International	2002
a56_530	26,5,3	Acerca de la certeza	/es/article/About_Certainty		Innerface International	2002
a63_76	192,2,1	Talleres Urantia del Parlamento 2018	/es/article/2018_Parliament_Urantia_Workshops		Mighty Messenger	2018
a39_647	133,1,4	Todas las cosas obran juntas para bien, aunque no lo parezca	/es/article/All_things_work_together_for_good_despite		Innerface International	2002
a44_610	133,1,4	Todas las cosas obran juntas para bien, aunque no lo parezca	/es/article/All_things_work_together_for_good_despite_2		Innerface International	2002
a47_525	160,2,3	Una desmitificación y redefinición del culto	/es/article/Alison_Gardner/A_Demystification_and_Redefinition_of_Cult	Alison Gardner	Fellowship Herald	2002
a51_568	87,7,1	Una desmitificación y redefinición del culto	/es/article/Alison_Gardner/A_Demystification_and_Redefinition_of_Cult	Alison Gardner	Fellowship Herald	2002
a63_365	101,9,2	Una desmitificación y redefinición del culto	/es/article/Alison_Gardner/A_Demystification_and_Redefinition_of_Cult	Alison Gardner	Fellowship Herald	2002
a65_101	103,6,1	Una desmitificación y redefinición del culto	/es/article/Alison_Gardner/A_Demystification_and_Redefinition_of_Cult	Alison Gardner	Fellowship Herald	2002
a77_406	92,3,4	Una desmitificación y redefinición del culto	/es/article/Alison_Gardner/A_Demystification_and_Redefinition_of_Cult	Alison Gardner	Fellowship Herald	2002
a83_578	160,5,3	Una desmitificación y redefinición del culto	/es/article/Alison_Gardner/A_Demystification_and_Redefinition_of_Cult	Alison Gardner	Fellowship Herald	2002
a87_593	155,6,5	Una desmitificación y redefinición del culto	/es/article/Alison_Gardner/A_Demystification_and_Redefinition_of_Cult	Alison Gardner	Fellowship Herald	2002
a93_415	87,7,2	Una desmitificación y redefinición del culto	/es/article/Alison_Gardner/A_Demystification_and_Redefinition_of_Cult	Alison Gardner	Fellowship Herald	2002
a95_426	87,7,3	Una desmitificación y redefinición del culto	/es/article/Alison_Gardner/A_Demystification_and_Redefinition_of_Cult	Alison Gardner	Fellowship Herald	2002
a97_357	87,7,5	Una desmitificación y redefinición del culto	/es/article/Alison_Gardner/A_Demystification_and_Redefinition_of_Cult	Alison Gardner	Fellowship Herald	2002
a101_378	87,7,6	Una desmitificación y redefinición del culto	/es/article/Alison_Gardner/A_Demystification_and_Redefinition_of_Cult	Alison Gardner	Fellowship Herald	2002
a105_208	103,5,12	Una desmitificación y redefinición del culto	/es/article/Alison_Gardner/A_Demystification_and_Redefinition_of_Cult	Alison Gardner	Fellowship Herald	2002
a111_88	195,7,1	Una desmitificación y redefinición del culto	/es/article/Alison_Gardner/A_Demystification_and_Redefinition_of_Cult	Alison Gardner	Fellowship Herald	2002
a113_744	1,1,2	Una desmitificación y redefinición del culto	/es/article/Alison_Gardner/A_Demystification_and_Redefinition_of_Cult	Alison Gardner	Fellowship Herald	2002
a129_379	26,4,5	Una desmitificación y redefinición del culto	/es/article/Alison_Gardner/A_Demystification_and_Redefinition_of_Cult	Alison Gardner	Fellowship Herald	2002
a149_155	195,10,1	Una desmitificación y redefinición del culto	/es/article/Alison_Gardner/A_Demystification_and_Redefinition_of_Cult	Alison Gardner	Fellowship Herald	2002
a163_193	155,5,3	Una desmitificación y redefinición del culto	/es/article/Alison_Gardner/A_Demystification_and_Redefinition_of_Cult	Alison Gardner	Fellowship Herald	2002
a165_352	85,0,1	Una desmitificación y redefinición del culto	/es/article/Alison_Gardner/A_Demystification_and_Redefinition_of_Cult	Alison Gardner	Fellowship Herald	2002
a167_118	62,5,4	Una desmitificación y redefinición del culto	/es/article/Alison_Gardner/A_Demystification_and_Redefinition_of_Cult	Alison Gardner	Fellowship Herald	2002
